|-----|
| 25x |
|----------|-------------|-----------------|---------------|--------------|----------------|--------------|
| Vertices |    Edges    | Sequential (ms) | Parallel (ms) | Acceleration | Sequential (q) | Parallel (q) |
|----------|-------------|-----------------|---------------|--------------|----------------|--------------|
|    10000 |      250000 |           13,11 |         14,59 |        0,90x |              1 |            1 |
|    20000 |      500000 |           27,38 |         27,86 |        0,98x |              1 |            1 |
|    50000 |     1250000 |           81,07 |         74,97 |        1,08x |              1 |            1 |
|   100000 |     2500000 |          164,40 |        143,01 |        1,15x |              1 |            1 |
|   200000 |     5000000 |          334,79 |        279,55 |        1,20x |              1 |            1 |
|   500000 |    12500000 |          867,31 |        753,71 |        1,15x |              1 |            1 |
|  1000000 |    25000000 |         1790,81 |       1730,04 |        1,04x |              1 |            1 |
|  2000000 |    50000000 |         3929,48 |       4115,00 |        0,95x |              1 |            1 |
|  5000000 |   125000000 |        12394,67 |      12253,97 |        1,01x |              1 |            1 |
|----------|-------------|-----------------|---------------|--------------|----------------|--------------|
