|----|
| 5x |
|----------|-------------|-----------------|---------------|--------------|----------------|--------------|
| Vertices |    Edges    | Sequential (ms) | Parallel (ms) | Acceleration | Sequential (q) | Parallel (q) |
|----------|-------------|-----------------|---------------|--------------|----------------|--------------|
|    10000 |       50000 |            6,31 |          6,04 |        1,05x |            146 |          146 |
|    20000 |      100000 |           11,31 |         11,92 |        0,95x |            280 |          280 |
|    50000 |      250000 |           39,28 |         27,73 |        1,42x |            665 |          665 |
|   100000 |      500000 |           86,74 |         62,50 |        1,39x |           1411 |         1411 |
|   200000 |     1000000 |          177,82 |        125,89 |        1,41x |           2868 |         2868 |
|   500000 |     2500000 |          472,18 |        325,10 |        1,45x |           7028 |         7028 |
|  1000000 |     5000000 |          985,65 |        776,95 |        1,27x |          13969 |        13969 |
|  2000000 |    10000000 |         2158,81 |       1806,13 |        1,20x |          27945 |        27945 |
|  5000000 |    25000000 |         6665,26 |       5124,59 |        1,30x |          69213 |        69213 |
|----------|-------------|-----------------|---------------|--------------|----------------|--------------|
