|----------|-----------|-----------------|---------------|--------------|
| Vertices |   Edges   | Sequential (ms) | Parallel (ms) | Acceleration |
|----------|-----------|-----------------|---------------|--------------|
|     1000 |      5000 |            0,38 |          0,43 |        0,88x |
|     2000 |     10000 |            0,73 |          0,76 |        0,96x |
|     5000 |     25000 |            1,85 |          2,37 |        0,78x |
|    10000 |     50000 |            6,26 |          5,87 |        1,07x |
|    20000 |    100000 |            9,66 |          6,26 |        1,54x |
|    50000 |    250000 |           37,00 |         23,34 |        1,59x |
|   100000 |    500000 |           76,61 |         56,02 |        1,37x |
|   200000 |   1000000 |          177,10 |        109,90 |        1,61x |
|   500000 |   2500000 |          459,52 |        304,31 |        1,51x |
|  1000000 |   5000000 |          957,94 |        677,22 |        1,41x |
|  2000000 |  10000000 |         2067,26 |       1425,86 |        1,45x |
|  5000000 |  25000000 |         6343,61 |       4343,69 |        1,46x |
|----------|-----------|-----------------|---------------|--------------|
